Acari,Ticks
Accipitriformes,Birds of Prey
Acipenseriformes,Acipenseriform Fish
Actiniaria,Actiniarians
Amblypygi,Whipscorpions
Amiiformes,Amiiform Fish
Anguilliformes,Anguilliform Fish
Anseriformes,Waterfowl
Anura,Frogs & Toads
Apodiformes,Apodiform Birds
Araneae,Spiders
Arhynchobdellida,Leeches
Artiodactyla,Even-Toed Mammals
Atheriniformes,Atheriniform Fish
Aulopiformes,Aulopiform Fish
Balanomorpha,Barnacles
Batrachoidiformes,Batrachoidiform Fish
Blattodea,Cockroaches
Caprimulgiformes,Caprimulgiform Birds
Carcharhiniformes,Carcharhiniform Sharks
Carnivora,Carnivores
Cathartiformes,Vultures
Caudata,Salamanders
Cephalopoda,Cephalopods
Cetacea,Cetaceans
Charadriiformes,Shorebirds
Chimaeriformes,Chimaeriformes
Chiroptera,Bats
Ciconiiformes,Storks
Clupeiformes,Clupeiform Fish
Coleoptera,Beetles
Collembola,Collembolans
Columbiformes,Columbiform Birds
Coraciiformes,Coraciiform Birds
Crocodilia,Crocodilians
Cuculiformes,Cuckoos
Cypriniformes,Ray-Finned Fish
Cypriniforms,Cypriniform Fish
Cyprinodontiformes,Cyprinodontiform Fish
Dactylopteridormes,Dactylopteridorm fish
Decapoda,Decapods
Dendrochirotida,Dendrochirotidans
Dermaptera,Earwigs
Didelphimorphia,Marsupials
Diplura,Diplurans
Diptera,Flies
Echinoida,Echinoidans
Elopiformes,Elopiform Fish
Ephemeroptera,Mayflies
Esociformes,Esociform Fish
Falconiformes,Falconiform Birds
Forcipulatida,Forcipulatidans
Gadiformes,Gadiform Fish
Galliformes,Galliform Birds
Gasterosteiformes,Gasterosteiform Fish
Gaviiformes,Loons
Gruiformes,Gruiform Birds
Hemiptera,True Bugs
Hexanchiformes,Hexanchiform Sharks
Hymenoptera,"Ants, Bees, & Wasps"
Isopoda,Isopods
Isoptera,Termites
Lagomorpha,Lagomorphs
Lamniformes,Lamniform Sharks
Lepidoptera,Butterflies & Moths
Lepisosteiformes,Lepisosteiformes Fish
Littorinoidea,Littorinoideans
Lophiiformes,Lophiiform Fish
Lottioidea,Limpets
Mantodea,Mantids
Mecoptera,Mecopterans
Megaloptera,Megalopterans
Microcoryphia,Microcoryphians
Mugiliformes,Mugiliform Fish
Myliobatiformes,Myliobatiformes
Myriapoda,Centipedes & Millipedes
Mytilida,True Mussels
Neogastropoda,Neogastropodans
Neoloricata,Neoloricatans
Neuroptera,Neuropterans
Notostraca,Shrimp
Nudibranchia,Nudibranchs
Odonata,Dragonflies & Damselflies
Opiliones,Harvestmen
Opisthopora,Opisthoporans
Orectolobiformes,Carpet Sharks
Orthoptera,Orthopterans
Osmeriformes,Osmeriform Fish
Passeriformes,Perching Birds
Pelecaniformes,Pelecaniform Birds
Perciformes,Perciform Fish
Percopsiformes,Percopsiform Fish
Petromyzontiformes,Petromyzontiformes
Phasmida,Stick Insects
Piciformes,Piciform Birds
Plecoptera,Stoneflies
Podicipediformes,Grebes
Pollicipedomorpha,Pollicipedomorphans
Pristiformes,Pristiform Sharks
"Pseudoscorpiones ",Pseudoscorpions
Rajiformes,Rajiformes
Raphidioptera,Snakeflies
Rodentia,Rodents
Salmoniformes,Salmoniform Fish
Scopraeniformes,Scopraeniform Fish
Scorpaeniformes,Ray-Finned Fish
Scorpiones,Scorpions
Semaeostomeae,Semaeostomeaens
Siluriformes,Siluriform Fish
Sirenia,Sirens
Soricomorpha,Soricomorphids
Squaliformes,Squaliform Sharks
Squamata,Scaled Reptiles
Squatiniformes,Squatiniform Sharks
Strigiformes,Owls
Stylommatophora,Stylommatophorans
Suliformes,Suliformes Birds
Testudines,Turtles & Tortoises
Tetraodontiformes,Tetraodontiform Fish
Thysanura,Thysanurans
Torpediniformes,Torpediniformes
Trichoptera,Caddisflies
Trochida,Trochidans
Velatida,Velatidans
